Model,Target,MAE,R2
Linear Regression — Demographic,Right_pct,13.636163417605406,0.3140566434275308
Linear Regression — Demographic,Center_Left_pct,15.118456868719022,0.4532331220221122
Linear Regression — Demographic,Haredi_pct,8.84725453071552,0.47370849013188765
Linear Regression — Demographic,Arab_pct,9.387842391568464,0.8730748189312784
Random Forest — Demographic,Right_pct,7.019063114351279,0.8280044546362622
Random Forest — Demographic,Center_Left_pct,8.838959576741795,0.7990767649077077
Random Forest — Demographic,Haredi_pct,3.0204131418474733,0.8714563679250615
Random Forest — Demographic,Arab_pct,2.993836902418917,0.9707439640298615
XGBoost — Demographic,Right_pct,7.341114171686336,0.817878947902972
XGBoost — Demographic,Center_Left_pct,8.203454831779057,0.8207430526624551
XGBoost — Demographic,Haredi_pct,3.029196063003635,0.8656753157694876
XGBoost — Demographic,Arab_pct,2.9611357260398736,0.9712000504065297
XGBoost — Demographic + Locality Types,Right_pct,7.104897191624594,0.8309472825413141
XGBoost — Demographic + Locality Types,Center_Left_pct,7.648851363268319,0.8442874043058192
XGBoost — Demographic + Locality Types,Haredi_pct,2.6407035830790186,0.9087266207679378
XGBoost — Demographic + Locality Types,Arab_pct,3.0647146163355226,0.9668063119544608
XGBoost + Locality Types — Post-hoc Normalized,Right_pct,6.533560645319006,0.8577891443754275
XGBoost + Locality Types — Post-hoc Normalized,Center_Left_pct,7.27436082972101,0.8630382133681246
XGBoost + Locality Types — Post-hoc Normalized,Haredi_pct,2.382211279238639,0.9306050012368527
XGBoost + Locality Types — Post-hoc Normalized,Arab_pct,3.408958121902456,0.9647767268450881
CLR XGBoost — Demographic + Locality Types,Right_pct,7.122498632047636,0.8312556377722937
CLR XGBoost — Demographic + Locality Types,Center_Left_pct,7.8940913514973925,0.807291986162822
CLR XGBoost — Demographic + Locality Types,Haredi_pct,2.335970655295925,0.9177421856941621
CLR XGBoost — Demographic + Locality Types,Arab_pct,2.5466261507198644,0.9731122785516105
MLP (CLR) — Neural Baseline,Right_pct,8.179454282056481,0.779296381623841
MLP (CLR) — Neural Baseline,Center_Left_pct,10.646334404744039,0.6677747046375804
MLP (CLR) — Neural Baseline,Haredi_pct,3.341621267648743,0.88122288413812
MLP (CLR) — Neural Baseline,Arab_pct,4.483280032549833,0.9188782487806864
Segmented CLR,Right_pct,6.916919517033703,0.8522594749237242
Segmented CLR,Center_Left_pct,6.880592874082964,0.8504950870394414
Segmented CLR,Haredi_pct,2.359854294514941,0.9136824267049336
Segmented CLR,Arab_pct,2.3832240999106733,0.9795599929261751
Segmented CLR + Druze Indicator,Right_pct,6.889762985447703,0.8534683893774825
Segmented CLR + Druze Indicator,Center_Left_pct,6.995229445723106,0.8402823985980046
Segmented CLR + Druze Indicator,Haredi_pct,2.3473158294226146,0.9140522825074605
Segmented CLR + Druze Indicator,Arab_pct,2.3459403611481675,0.9795601025958334
