source_group,source,year,relative_path,required_for_notebook_01,exists,size_bytes
election,Knesset_16,,data/raw/Election_data/Knesset_16_Election_Results_2003_By_Kalfi.csv.xls,True,True,2118656
election,Knesset_17,,data/raw/Election_data/Knesset_17_Election_Results_2006_By_Kalfi.csv.xls,True,True,2420224
election,Knesset_18,,data/raw/Election_data/Knesset_18_Election_Results_2009_By_Kalfi.csv.csv,True,True,1134138
election,Knesset_19,,data/raw/Election_data/Knesset_19_Election_Results_2013_By_Locality.csv.csv,True,True,133786
election,Knesset_20,,data/raw/Election_data/Knesset_20_Election_Results_2015_By_Locality.csv.csv,True,True,106836
election,Knesset_21,,data/raw/Election_data/Knesset_21_Election_Results_2019_By_Locality.csv,True,True,150776
election,Knesset_22,,data/raw/Election_data/Knesset_22_Election_Results_2019_By_Locality.csv,True,True,125654
election,Knesset_23,,data/raw/Election_data/Knesset_23_Election_Results_2020_By_Locality.csv,True,True,120101
election,Knesset_24,,data/raw/Election_data/Knesset_24_Election_Results_2021_By_Locality.csv,True,True,145731
election,Knesset_25,,data/raw/Election_data/Knesset_25_Election_Results_2022_By_Locality.csv,True,True,154331
socioeconomic,demographic,2003.0,data/raw/Demographic_data/Demographic_2003.xlsx,False,True,48625
socioeconomic,demographic,2006.0,data/raw/Demographic_data/Demographic_2006.xlsx,False,True,49636
socioeconomic,demographic,2009.0,data/raw/Demographic_data/Demographic_2009.xlsx,False,True,47682
socioeconomic,demographic,2013.0,data/raw/Demographic_data/Demographic_2013.xlsx,False,True,50870
socioeconomic,demographic,2015.0,data/raw/Demographic_data/Demographic_2015.xlsx,False,True,48385
socioeconomic,demographic,2019.0,data/raw/Demographic_data/Demographic_2019.xlsx,False,True,81004
socioeconomic,demographic,2020.0,data/raw/Demographic_data/Demographic_2020.xlsx,False,True,88343
socioeconomic,demographic,2021.0,data/raw/Demographic_data/Demographic_2021.xlsx,False,True,88556
socioeconomic,demographic,2022.0,data/raw/Demographic_data/Demographic_2022.xlsx,False,True,82389
socioeconomic,demographic,2023.0,data/raw/Demographic_data/Demographic_2023.xlsx,False,True,81007
socioeconomic,income,2003.0,data/raw/Average_income/ICBS_2003.xlsx,False,True,47768
socioeconomic,income,2006.0,data/raw/Average_income/ICBS_2006.xlsx,False,True,35722
socioeconomic,income,2009.0,data/raw/Average_income/ICBS_2009.xlsx,False,True,36234
socioeconomic,income,2013.0,data/raw/Average_income/ICBS_2013.xlsx,False,True,35274
socioeconomic,income,2015.0,data/raw/Average_income/ICBS_2015.xlsx,False,True,35523
socioeconomic,income,2019.0,data/raw/Average_income/ICBS_2019.xlsx,False,True,39964
socioeconomic,income,2020.0,data/raw/Average_income/ICBS_2020.xlsx,False,True,18934
socioeconomic,income,2021.0,data/raw/Average_income/ICBS_2021.xlsx,False,True,41542
socioeconomic,income,2022.0,data/raw/Average_income/ICBS_2022.xlsx,False,True,41813
socioeconomic,income,2023.0,data/raw/Average_income/ICBS_2023.xlsx,False,True,39151
socioeconomic,unemployment,2003.0,data/raw/Unemployment_data/Unemployment_2003.xlsx,False,True,54143
socioeconomic,unemployment,2006.0,data/raw/Unemployment_data/Unemployment_2006.xlsx,False,True,53559
socioeconomic,unemployment,2009.0,data/raw/Unemployment_data/Unemployment_2009.xlsx,False,True,54141
socioeconomic,unemployment,2013.0,data/raw/Unemployment_data/Unemployment_2013.xlsx,False,True,65940
socioeconomic,unemployment,2015.0,data/raw/Unemployment_data/Unemployment_2015.xlsx,False,True,54538
socioeconomic,unemployment,2019.0,data/raw/Unemployment_data/Unemployment_2019.xlsx,False,True,57259
socioeconomic,unemployment,2020.0,data/raw/Unemployment_data/Unemployment_2020.xlsx,False,True,59852
socioeconomic,unemployment,2021.0,data/raw/Unemployment_data/Unemployment_2021.xlsx,False,True,49110
socioeconomic,unemployment,2022.0,data/raw/Unemployment_data/Unemployment_2022.xlsx,False,True,59707
socioeconomic,unemployment,2023.0,data/raw/Unemployment_data/Unemployment_2023.xlsx,False,True,59931
socioeconomic,education,2016.0,data/raw/Education_data/Education_2016.xlsx,False,True,45075
socioeconomic,education,2019.0,data/raw/Education_data/Education_2019.xlsx,False,True,61815
socioeconomic,education,2020.0,data/raw/Education_data/Education_2020.xlsx,False,True,61841
socioeconomic,education,2021.0,data/raw/Education_data/Education_2021.xlsx,False,True,62011
socioeconomic,education,2022.0,data/raw/Education_data/Education_2022.xlsx,False,True,62396
socioeconomic,education,2023.0,data/raw/Education_data/Education_2023.xlsx,False,True,60688
