election_number,target_election,year,locality_rows,unique_localities,eligible_voters,votes_cast,valid_votes,missing_eligible_voters,missing_turnout_pct
16,Knesset_16,2003,1171,1171,4720075.0,3042477.0,2992431.0,0,0
17,Knesset_17,2006,1148,1148,0.0,3012059.0,2965674.0,1148,1148
18,Knesset_18,2009,1156,1156,5278985.0,3229668.0,3189099.0,0,0
19,Knesset_19,2013,1184,1184,5656705.0,3617857.0,3579793.0,0,0
20,Knesset_20,2015,1195,1195,5881696.0,4020139.0,3978203.0,0,0
21,Knesset_21,2019,1213,1213,6339729.0,4099470.0,4070448.0,0,0
22,Knesset_22,2019,1213,1213,6391218.0,4182726.0,4156590.0,0,0
23,Knesset_23,2020,1213,1213,6453255.0,4284926.0,4262360.0,0,0
24,Knesset_24,2021,1214,1214,6578084.0,4010853.0,3988433.0,0,0
25,Knesset_25,2022,1215,1215,6788804.0,4331786.0,4306028.0,0,0
