transition_id,feature_set,rows,feature_count,cell_coverage,rows_with_all_features_observed
K16_to_K17,history_only,1139,10,1.0,1.0
K16_to_K17,history_plus_dynamic_socio,1139,98,0.5567988389385605,0.0
K16_to_K17,history_plus_nonidentity_levels_and_dynamic,1139,410,0.5315253003276301,0.0
K16_to_K17,history_plus_all_socio_sensitivity,1139,420,0.531194866006104,0.0
K16_to_K17,history_plus_locality_identity_diagnostic,1139,482,0.5910458690195594,0.0
K17_to_K18,history_only,1140,10,0.9,0.0
K17_to_K18,history_plus_dynamic_socio,1140,98,0.6207124955245257,0.0
K17_to_K18,history_plus_nonidentity_levels_and_dynamic,1140,410,0.5452032520325204,0.0
K17_to_K18,history_plus_all_socio_sensitivity,1140,420,0.5445781119465329,0.0
K17_to_K18,history_plus_locality_identity_diagnostic,1140,482,0.6029336827546043,0.0
K18_to_K19,history_only,1155,10,1.0,1.0
K18_to_K19,history_plus_dynamic_socio,1155,98,0.630921459492888,0.0
K18_to_K19,history_plus_nonidentity_levels_and_dynamic,1155,410,0.5475092387287509,0.0
K18_to_K19,history_plus_all_socio_sensitivity,1155,420,0.5468315811172955,0.0
K18_to_K19,history_plus_locality_identity_diagnostic,1155,482,0.6049002173483502,0.0
K19_to_K20,history_only,1183,10,1.0,1.0
K19_to_K20,history_plus_dynamic_socio,1183,98,0.6302810219607707,0.0
K19_to_K20,history_plus_nonidentity_levels_and_dynamic,1183,410,0.5473991299507247,0.0
K19_to_K20,history_plus_all_socio_sensitivity,1183,420,0.5467214104576742,0.0
K19_to_K20,history_plus_locality_identity_diagnostic,1183,482,0.6047551235869143,0.0
K20_to_K21,history_only,1193,10,1.0,1.0
K20_to_K21,history_plus_dynamic_socio,1193,98,0.6307285697179124,0.0
K20_to_K21,history_plus_nonidentity_levels_and_dynamic,1193,410,0.5574550732933985,0.0
K20_to_K21,history_plus_all_socio_sensitivity,1193,420,0.5565361433760428,0.0
K20_to_K21,history_plus_locality_identity_diagnostic,1193,482,0.6133635696472856,0.0
K21_to_K22,history_only,1212,10,1.0,1.0
K21_to_K22,history_plus_dynamic_socio,1212,98,0.6314238566713815,0.0
K21_to_K22,history_plus_nonidentity_levels_and_dynamic,1212,410,0.5573210979634549,0.0
K21_to_K22,history_plus_all_socio_sensitivity,1212,420,0.5564002828854314,0.0
K21_to_K22,history_plus_locality_identity_diagnostic,1212,482,0.6132485655204525,0.0
K22_to_K23,history_only,1213,10,1.0,1.0
K22_to_K23,history_plus_dynamic_socio,1213,98,0.6335279371435301,0.15004122011541632
K22_to_K23,history_plus_nonidentity_levels_and_dynamic,1213,410,0.5832203969195504,0.0
K22_to_K23,history_plus_all_socio_sensitivity,1213,420,0.5831350842068073,0.0
K22_to_K23,history_plus_locality_identity_diagnostic,1213,482,0.6365446254784783,0.0
K23_to_K24,history_only,1211,10,1.0,1.0
K23_to_K24,history_plus_dynamic_socio,1211,98,0.6170899408483459,0.002477291494632535
K23_to_K24,history_plus_nonidentity_levels_and_dynamic,1211,410,0.5767779098104772,0.0
K23_to_K24,history_plus_all_socio_sensitivity,1211,420,0.5766426801934647,0.0
K23_to_K24,history_plus_locality_identity_diagnostic,1211,482,0.6309401029977626,0.0
K24_to_K25,history_only,1212,10,1.0,1.0
K24_to_K25,history_plus_dynamic_socio,1212,98,0.6089529871354482,0.0
K24_to_K25,history_plus_nonidentity_levels_and_dynamic,1212,410,0.5732552523545037,0.0
K24_to_K25,history_plus_all_socio_sensitivity,1212,420,0.5729844413012729,0.0
K24_to_K25,history_plus_locality_identity_diagnostic,1212,482,0.6278586883584623,0.0
