family,snapshot_year,rows,unique_localities,available_numeric_features
demographic,2003,202,202,26
demographic,2006,197,197,27
demographic,2009,200,200,27
demographic,2013,201,201,27
demographic,2015,201,201,27
demographic,2019,192,192,57
demographic,2020,201,201,53
demographic,2021,201,201,53
demographic,2022,201,201,53
demographic,2023,192,192,57
income,2003,222,222,13
income,2006,221,221,13
income,2009,223,223,13
income,2013,224,224,13
income,2015,224,224,13
income,2019,224,224,13
income,2020,197,197,3
income,2021,224,224,13
income,2022,225,225,13
income,2023,199,199,13
unemployment,2003,224,224,24
unemployment,2006,221,221,23
unemployment,2009,223,223,23
unemployment,2013,224,224,23
unemployment,2015,224,224,23
unemployment,2019,224,224,29
unemployment,2020,224,224,29
unemployment,2021,224,224,29
unemployment,2022,224,224,29
unemployment,2023,225,225,29
education,2016,201,201,26
education,2019,201,201,39
education,2020,201,201,39
education,2021,201,201,39
education,2022,201,201,39
education,2023,192,192,39
