transition_id,rows,persistence_mae,persistence_median_mae,persistence_max_error,persistence_Right_mae,persistence_Center_Left_mae,persistence_Haredi_mae,persistence_Arab_mae
K16_to_K17,1139,10.015246026646532,8.751780626780624,89.53488372093024,18.490785254611655,18.078802226482793,2.3187313194138826,1.1726653060778
K17_to_K18,1140,5.521189389197532,4.968101730044192,62.16661672160623,8.556438103130525,9.221696759192653,2.2244143667797878,2.0822083276871606
K18_to_K19,1155,4.545545930524023,3.062068965517243,80.88888888888889,6.0612028503953725,7.44438921793273,3.1139873692144517,1.5626042845535335
K19_to_K20,1183,4.826111484379194,3.5223602453442937,60.474716202270386,7.915099473829864,4.731365221921791,5.058676908860607,1.5993043329045118
K20_to_K21,1193,3.1096101933845683,2.0427579065452823,59.16666666666666,4.168211628821944,4.82875180533175,1.493333845274654,1.9481434941099252
K21_to_K22,1212,3.0606496563810155,2.225334516467525,62.60869565217391,4.6857078928830225,4.000129500685068,1.9517819053410053,1.6049793266149666
K22_to_K23,1213,2.1593751997991872,1.6837280366692116,39.10308741747254,2.7917656937503934,3.57238952261177,0.9847834503859826,1.288562132448603
K23_to_K24,1211,3.083027707491543,2.4311276994751907,55.530240265120135,5.5774985254487826,3.9567968077788795,1.5319570804846065,1.2658584162539035
K24_to_K25,1212,2.8411262813127878,2.3090245732004275,47.27704869989326,5.095941831317796,3.9791767858258345,1.1785340202208756,1.1108524878866446
