election_number,target_election,year,filename,relative_path,exists,size_bytes
16,Knesset_16,2003,Knesset_16_Election_Results_2003_By_Kalfi.csv.xls,data/raw/Election_data/Knesset_16_Election_Results_2003_By_Kalfi.csv.xls,True,2118656
17,Knesset_17,2006,Knesset_17_Election_Results_2006_By_Kalfi.csv.xls,data/raw/Election_data/Knesset_17_Election_Results_2006_By_Kalfi.csv.xls,True,2420224
18,Knesset_18,2009,Knesset_18_Election_Results_2009_By_Kalfi.csv.csv,data/raw/Election_data/Knesset_18_Election_Results_2009_By_Kalfi.csv.csv,True,1134138
19,Knesset_19,2013,Knesset_19_Election_Results_2013_By_Locality.csv.csv,data/raw/Election_data/Knesset_19_Election_Results_2013_By_Locality.csv.csv,True,133786
20,Knesset_20,2015,Knesset_20_Election_Results_2015_By_Locality.csv.csv,data/raw/Election_data/Knesset_20_Election_Results_2015_By_Locality.csv.csv,True,106836
21,Knesset_21,2019,Knesset_21_Election_Results_2019_By_Locality.csv,data/raw/Election_data/Knesset_21_Election_Results_2019_By_Locality.csv,True,150776
22,Knesset_22,2019,Knesset_22_Election_Results_2019_By_Locality.csv,data/raw/Election_data/Knesset_22_Election_Results_2019_By_Locality.csv,True,125654
23,Knesset_23,2020,Knesset_23_Election_Results_2020_By_Locality.csv,data/raw/Election_data/Knesset_23_Election_Results_2020_By_Locality.csv,True,120101
24,Knesset_24,2021,Knesset_24_Election_Results_2021_By_Locality.csv,data/raw/Election_data/Knesset_24_Election_Results_2021_By_Locality.csv,True,145731
25,Knesset_25,2022,Knesset_25_Election_Results_2022_By_Locality.csv,data/raw/Election_data/Knesset_25_Election_Results_2022_By_Locality.csv,True,154331
