transition_id,previous_election_number,current_election_number,previous_year,current_year,year_gap,matched_localities,changed_locality_names,mean_absolute_bloc_change_pct,median_absolute_bloc_change_pct,maximum_absolute_bloc_change_pct,persistence_mae,previous_rows,current_rows,matched_rows,previous_only_rows,current_only_rows,matched_previous_row_coverage_pct,matched_current_row_coverage_pct,matched_previous_vote_coverage_pct,matched_current_vote_coverage_pct
K16_to_K17,16,17,2003,2006,3,1139,57,10.015246026646532,8.751780626780624,89.53488372093024,10.015246026646532,1171,1148,1139,32,9,97.26729291204099,99.21602787456446,99.08298637462318,99.97025971162036
K17_to_K18,17,18,2006,2009,3,1140,4,5.521189389197532,4.968101730044192,62.16661672160623,5.521189389197532,1148,1156,1140,8,16,99.30313588850174,98.6159169550173,99.894627663054,99.90981778866069
K18_to_K19,18,19,2009,2013,4,1155,6,4.545545930524023,3.062068965517243,80.88888888888889,4.545545930524023,1156,1184,1155,1,29,99.91349480968859,97.55067567567568,99.99993728636207,99.51108904900367
K19_to_K20,19,20,2013,2015,2,1183,1,4.826111484379194,3.5223602453442937,60.474716202270386,4.826111484379194,1184,1195,1183,1,12,99.91554054054053,98.99581589958159,99.99918989729294,99.95857426079061
K20_to_K21,20,21,2015,2019,4,1193,13,3.1096101933845683,2.0427579065452823,59.16666666666666,3.1096101933845683,1195,1213,1193,2,20,99.8326359832636,98.35119538334708,99.99522397424163,99.90657048069401
K21_to_K22,21,22,2019,2019,0,1212,2,3.0606496563810155,2.225334516467525,62.60869565217391,3.0606496563810155,1213,1213,1212,1,1,99.91755976916735,99.91755976916735,99.99859966273984,99.99692055266456
K22_to_K23,22,23,2019,2020,1,1213,126,2.1593751997991872,1.6837280366692116,39.10308741747254,2.1593751997991872,1213,1213,1213,0,0,100.0,100.0,100.0,100.0
K23_to_K24,23,24,2020,2021,1,1211,0,3.083027707491543,2.4311276994751907,55.530240265120135,3.083027707491543,1213,1214,1211,2,3,99.83511953833471,99.7528830313015,99.98833979297854,99.99395752667778
K24_to_K25,24,25,2021,2022,1,1212,2,2.8411262813127878,2.3090245732004275,47.27704869989326,2.8411262813127878,1214,1215,1212,2,3,99.835255354201,99.75308641975309,99.89860679620291,99.89786411049812
