transition_id,locality_symbol,previous_election_locality_name,current_election_locality_name,previous_valid_votes,current_valid_votes,match_status
K16_to_K17,1062,נווה אפרים,,1633.0,,left_only
K16_to_K17,1085,,כרם שלום,,28.0,right_only
K16_to_K17,1163,,מורן,,82.0,right_only
K16_to_K17,1177,,טללים,,65.0,right_only
K16_to_K17,1207,,לבון,,103.0,right_only
K16_to_K17,1273,מכבים-רעות,,4934.0,,left_only
K16_to_K17,1306,צור יגאל,,2431.0,,left_only
K16_to_K17,1308,צורן,,2212.0,,left_only
K16_to_K17,1347,,קצר א-סר,,144.0,right_only
K16_to_K17,1349,,דריג'את,,192.0,right_only
K16_to_K17,1358,,אום בטין,,114.0,right_only
K16_to_K17,1404,חצרות יסף,,27.0,,left_only
K16_to_K17,1418,,מחנה טלי,,75.0,right_only
K16_to_K17,3642,חומש,,79.0,,left_only
K16_to_K17,3729,כדים,,51.0,,left_only
K16_to_K17,3758,גנים,,67.0,,left_only
K16_to_K17,3777,,סנסנה,,79.0,right_only
K16_to_K17,3792,עופרים,,347.0,,left_only
K16_to_K17,483,בענה,,2387.0,,left_only
K16_to_K17,490,דייר אל-אסד,,3394.0,,left_only
K16_to_K17,50,גבעת עדה,,1264.0,,left_only
K16_to_K17,534,עספיא,,3215.0,,left_only
K16_to_K17,5405,כפר דרום,,119.0,,left_only
K16_to_K17,5407,מורג,,61.0,,left_only
K16_to_K17,5408,נצרים,,112.0,,left_only
K16_to_K17,5410,נצר חזני,,188.0,,left_only
K16_to_K17,5423,קטיף,,123.0,,left_only
K16_to_K17,5424,גני טל,,193.0,,left_only
K16_to_K17,5425,בני עצמון,,181.0,,left_only
K16_to_K17,5426,ניסנית,,404.0,,left_only
K16_to_K17,5427,נווה דקלים,,986.0,,left_only
K16_to_K17,5428,אלי סיני,,193.0,,left_only
K16_to_K17,5429,גדיד,,144.0,,left_only
K16_to_K17,5431,גן אור,,136.0,,left_only
K16_to_K17,5432,בדולח,,90.0,,left_only
K16_to_K17,5433,רפיח ים,,50.0,,left_only
K16_to_K17,5436,פאת שדה,,43.0,,left_only
K16_to_K17,628,ג'ת,,1755.0,,left_only
K16_to_K17,781,גני יהודה,,452.0,,left_only
K16_to_K17,958,אבו עבדון )שבט(,,35.0,,left_only
K16_to_K17,990,ראס עלי,,135.0,,left_only
K17_to_K18,1049,רמת אפעל,,1846.0,,left_only
K17_to_K18,1057,נווה זוהר,,45.0,,left_only
K17_to_K18,1195,ניצנה (קהילת חינו,,151.0,,left_only
K17_to_K18,1239,,חולית,,53.0,right_only
K17_to_K18,1251,,עין תמר,,78.0,right_only
K17_to_K18,1257,,חנתון,,131.0,right_only
K17_to_K18,1265,,שומריה,,204.0,right_only
K17_to_K18,1280,,ניצני סיני,,214.0,right_only
K17_to_K18,1320,,עין חוד,,45.0,right_only
K17_to_K18,1335,,ערב אל נעים,,77.0,right_only
K17_to_K18,1344,,גבעות בר,,82.0,right_only
K17_to_K18,1345,,צור יצחק,,69.0,right_only
K17_to_K18,1348,,ביר הדאג',,48.0,right_only
K17_to_K18,1359,,אל סייד,,62.0,right_only
K17_to_K18,1361,,בת חן,,425.0,right_only
K17_to_K18,1416,,מחנה יוכבד,,54.0,right_only
K17_to_K18,1419,,ניצן ב',,1113.0,right_only
K17_to_K18,180,"כפר אז""ר",,325.0,,left_only
K17_to_K18,2032,נווה אפעל,,348.0,,left_only
K17_to_K18,3777,סנסנה,,79.0,,left_only
K17_to_K18,4024,,קלע,,60.0,right_only
K17_to_K18,883,רמת פנקס,,291.0,,left_only
K17_to_K18,989,סואעד (כמאנה) (שב,,40.0,,left_only
K17_to_K18,990,,ראס עלי,,161.0,right_only
K18_to_K19,1044,,יעף,,112.0,right_only
K18_to_K19,1057,,נווה זוהר,,28.0,right_only
K18_to_K19,1153,,כישור,,75.0,right_only
K18_to_K19,1198,,כרמים,,87.0,right_only
K18_to_K19,1211,,קדרים,,74.0,right_only
K18_to_K19,1243,,קציר,,1245.0,right_only
K18_to_K19,1260,,רתמים,,136.0,right_only
K18_to_K19,1261,,הר עמשא,,81.0,right_only
K18_to_K19,1262,,צוקים,,92.0,right_only
K18_to_K19,1291,,כמהין,,104.0,right_only
K18_to_K19,1316,,אל-עריאן,,78.0,right_only
K18_to_K19,1338,,כדיתה,,50.0,right_only
K18_to_K19,1342,,אבו קרינאת (יישוב,,54.0,right_only
K18_to_K19,1343,,מכחול,,37.0,right_only
K18_to_K19,1346,,תראבין א-צאנע(ישו,,53.0,right_only
K18_to_K19,1363,,בני נצרים,,118.0,right_only
K18_to_K19,1366,,נווה,,168.0,right_only
K18_to_K19,1370,,מצפה אילן,,92.0,right_only
K18_to_K19,1414,,מחנה מרים,,66.0,right_only
K18_to_K19,1417,,מחנה עדי,,126.0,right_only
K18_to_K19,21,,באר אורה,,138.0,right_only
K18_to_K19,353,,בית זיד,,51.0,right_only
K18_to_K19,3744,,ברוכין,,142.0,right_only
K18_to_K19,4014,,נטור,,120.0,right_only
K18_to_K19,483,,בענה,,2985.0,right_only
K18_to_K19,490,,דייר אל-אסד,,4798.0,right_only
K18_to_K19,534,,עספיא,,3840.0,right_only
K18_to_K19,628,,ג'ת,,2483.0,right_only
K18_to_K19,926,נווה אבות,,2.0,,left_only
K18_to_K19,958,,אבו עבדון (שבט),,69.0,right_only
K19_to_K20,1195,,ניצנה (קהילת חינו,,74.0,right_only
K19_to_K20,1340,,מרחב עם,,109.0,right_only
K19_to_K20,1360,,מולדה,,59.0,right_only
K19_to_K20,1368,,בני דקלים,,201.0,right_only
K19_to_K20,1369,,נטע,,138.0,right_only
K19_to_K20,1371,,גני טל,,295.0,right_only
K19_to_K20,1372,,נצר חזני,,170.0,right_only
K19_to_K20,1376,,באר גנים,,101.0,right_only
K19_to_K20,1413,,מחנה יהודית,,75.0,right_only
K19_to_K20,3724,,נגוהות,,82.0,right_only
K19_to_K20,3777,,סנסנה,,145.0,right_only
K19_to_K20,3822,,רחלים,,199.0,right_only
K19_to_K20,890,כפר הנוער הדתי,,29.0,,left_only
K20_to_K21,1134,,יד השמונה,,117.0,right_only
K20_to_K21,1143,,נס עמים,,176.0,right_only
K20_to_K21,1213,,צבעון,,121.0,right_only
K20_to_K21,1248,,אליפז,,73.0,right_only
K20_to_K21,1266,,שחרות,,75.0,right_only
K20_to_K21,1324,,ארסוף,,80.0,right_only
K20_to_K21,1336,,אירוס,,308.0,right_only
K20_to_K21,1364,,שלומית,,94.0,right_only
K20_to_K21,1365,,אליאב,,164.0,right_only
K20_to_K21,1367,,כחלה,,124.0,right_only
K20_to_K21,1374,,כרמי קטיף,,157.0,right_only
K20_to_K21,1375,,אבו תלול,,386.0,right_only
K20_to_K21,1411,,מחנה הילה,,98.0,right_only
K20_to_K21,1417,מחנה עדי,,121.0,,left_only
K20_to_K21,212,,בית צבי,,39.0,right_only
K20_to_K21,3646,,חמדת,,100.0,right_only
K20_to_K21,3823,,גני מודיעין,,1420.0,right_only
K20_to_K21,3824,,עמיחי,,64.0,right_only
K20_to_K21,4019,,מיצר,,95.0,right_only
K20_to_K21,4502,,עין קנייא,,30.0,right_only
K20_to_K21,833,,נורית,,82.0,right_only
K20_to_K21,986,ח'ואלד (שבט),,69.0,,left_only
K21_to_K22,3620,נירן,,57.0,,left_only
K21_to_K22,3785,,משכיות,,128.0,right_only
K23_to_K24,1185,,פלך,,88.0,right_only
K23_to_K24,1278,,באר מילכה,,89.0,right_only
K23_to_K24,3637,מעלה שומרון,,431.0,,left_only
K23_to_K24,3782,,רותם,,64.0,right_only
K23_to_K24,3824,עמיחי,,66.0,,left_only
K24_to_K25,1377,,שבי דרום,,150.0,right_only
K24_to_K25,3720,שערי תקווה,,2968.0,,left_only
K24_to_K25,3778,עץ אפרים,,1076.0,,left_only
K24_to_K25,3824,,עמיחי,,86.0,right_only
K24_to_K25,3826,,שער שומרון,,4162.0,right_only
