strategy,bloc,rows,mae,median_absolute_error,r2
Ridge — raw correction,Arab,673,1.8416356373172635,0.19466550136071686,0.9907839267454827
Ridge — globally shrunk correction,Arab,673,1.8800463979155178,0.18825635850379513,0.9903968312508926
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Arab,673,2.7429178948438104,0.20641228329591083,0.9787581942682527
Hybrid — Ridge Non-Arab / persistence Arab,Arab,673,2.744851800909879,0.2045077750094444,0.9787462606954757
Previous-election persistence,Arab,673,2.774009707054109,0.2969759803114129,0.9786544008497764
Ridge — globally shrunk correction,Center_Left,673,2.6769574016464466,1.5732562007382853,0.972614769978867
Ridge — raw correction,Center_Left,673,2.6835894428065425,1.5535056299176055,0.9725844975400665
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Center_Left,673,3.3661659891513653,1.727063589083393,0.9544224984205916
Hybrid — Ridge Non-Arab / persistence Arab,Center_Left,673,3.3993687098838037,1.781774030381282,0.9540550519419385
Previous-election persistence,Center_Left,673,4.447438507723768,3.4943202826767816,0.9460780973009217
Ridge — globally shrunk correction,Haredi,673,1.4741254776086923,0.558907835205229,0.9736944056528728
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Haredi,673,1.487780305349996,0.5844403725759656,0.9737042332797747
Previous-election persistence,Haredi,673,1.5200062648601718,0.739586255793267,0.9756332943063929
Ridge — raw correction,Haredi,673,1.5455827738433239,0.5631937290117108,0.9710658150669005
Hybrid — Ridge Non-Arab / persistence Arab,Haredi,673,1.5576645300028715,0.5974890485803903,0.9713900376372622
Ridge — globally shrunk correction,Right,673,2.573816976096436,1.5347525293446864,0.9690431872460071
Ridge — raw correction,Right,673,2.623735511139108,1.5517450539536242,0.9684109090011411
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Right,673,2.898703327524368,1.6499096855387236,0.9586451573702802
Hybrid — Ridge Non-Arab / persistence Arab,Right,673,2.972223029472337,1.717327024287691,0.957478843887107
Previous-election persistence,Right,673,4.375307283586056,3.727404998302603,0.939571629140956
