strategy,analysis_group,rows,mae,median_row_mae,weighted_mae,macro_r2,maximum_prediction_sum_error
Ridge — raw correction,Arab/Non-Jewish,243,3.4180657220411508,2.328813129397454,2.544393946819944,0.7684519462385354,2.842170943040401e-14
Ridge — globally shrunk correction,Arab/Non-Jewish,243,3.4796489897057805,2.4550830844717315,2.600858412969072,0.7700096517748156,2.842170943040401e-14
Previous-election persistence,Arab/Non-Jewish,243,4.788690255553977,3.4649069942463973,3.7438457806385155,0.7136468559660551,2.842170943040401e-14
Hybrid — Ridge Non-Arab / persistence Arab,Arab/Non-Jewish,243,4.788690255553977,3.4649069942463973,3.7438457806385155,0.7136468559660551,2.842170943040401e-14
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Arab/Non-Jewish,243,4.788690255553977,3.4649069942463973,3.7438457806385155,0.7136468559660551,2.842170943040401e-14
Ridge — globally shrunk correction,Non-Arab,430,1.4005290758457758,1.0942846434841353,1.5999040514147789,0.9736327923130338,2.842170943040401e-14
Hybrid — shrunk Ridge Non-Arab / persistence Arab,Non-Arab,430,1.4005290758457758,1.0942846434841353,1.5999040514147789,0.9736327923130338,2.842170943040401e-14
Ridge — raw correction,Non-Arab,430,1.4703882574956393,1.1273379477538197,1.6754731978437585,0.9715799807682963,2.842170943040401e-14
Hybrid — Ridge Non-Arab / persistence Arab,Non-Arab,430,1.4703882574956393,1.1273379477538197,1.6754731978437585,0.9715799807682963,2.842170943040401e-14
Previous-election persistence,Non-Arab,430,2.4261475222391615,2.2587914205193713,2.4504732215178557,0.954257610793574,2.842170943040401e-14
